carceri,regione,previsti,posti non disp,effettivi,locali,locali non disp,docce,sanitari,previsti reali,differenza tra posti previsti reali e posti effettivi,sovraffollamento,spazio primo det,spazio altri det,spazio totale,spazio tot docce,spazio  tot sanitari,numero persone per stanza,numero letti a castello,totale letti a castello,spazio tot letti a castello,spazio totale libero teorico,spazio libero singolo locale,spazio totale libero effettivo,spazio reale per persone reali,spazio previsto per persone teoriche,differenza percentuale di spazio per persona,hexagon_id,x,y
Varese,Lombardia,53,0,100,47,0,15,0,53,47,188.68%,423,30,453,7.35,0,3,2,94,118.44,327.21,6.961914894,327.21,3.2721,6.173773585,188.68%,Marche_hex_1,659.26.00,385.06.00
Vigevano,Lombardia,242,24,361,236,24,0,222,218,143,165.60%,2124,30,2154,0,66.6,2,1,236,297.36,1790.04,7.584915254,1608.002034,4.454299263,6.644636504,149.17%,Marche_hex_2,716.50.00,485.31.00
Voghera,Lombardia,341,0,345,190,0,84,179,341,4,101.17%,1710,755,2465,41.16,53.7,2,1,190,239.4,2130.74,11.21442105,2130.74,6.176057971,6.248504399,101.17%,Marche_hex_3,688.08.00,435.39.00
Ancona Barcaglione,Marche,100,0,90,98,0,24,0,100,-10,90.00%,882,10,892,11.76,0,1,1,98,123.48,756.76,7.722040816,756.76,8.408444444,7.5676,90.00%,Marche_hex_4,716.50.00,385.06.00
Ancona Montacuto,Marche,256,0,336,111,0,102,98,256,80,131.25%,999,725,1724,49.98,29.4,4,2,222,279.72,1364.9,12.2963964,1364.9,4.062202381,5.331640625,131.25%,Marche_hex_5,774.14.00,485.31.00
Ascoli Piceno,Marche,103,4,127,65,3,19,59,99,28,128.28%,585,190,775,9.31,17.7,2,1,65,81.9,666.09,10.24753846,635.3473846,5.002735312,6.16842121,123.30%,Marche_hex_6,745.32.00,435.39.00
Fermo,Marche,43,0,60,22,0,0,22,43,17,139.53%,198,105,303,0,6.6,3,2,44,55.44,240.96,10.95272727,240.96,4.016,5.60372093,139.53%,Molise_hex_1,947.07.00,684.59.00
Fossombrone,Marche,182,81,88,123,81,42,0,101,-13,87.13%,1107,295,1402,20.58,0,1,1,123,154.98,1226.44,9.971056911,418.7843902,4.758913525,2.301013133,48.35%,Molise_hex_2,918.25.00,734.51.00
Pesaro,Marche,153,1,254,124,1,4,12,152,102,167.11%,1116,145,1261,1.96,3.6,3,2,248,312.48,942.96,7.604516129,935.3554839,3.682501905,6.113434535,166.01%,Molise_hex_3,861.01.00,734.51.00
Campobasso,Molise,106,10,173,73,7,45,60,96,77,180.21%,657,165,822,22.05,18,3,2,146,183.96,597.99,8.191643836,540.6484932,3.125135799,5.100457483,163.21%,Piemonte_hex_1,82.42.00,185.38.00
Isernia,Molise,50,0,64,28,0,8,28,50,14,128.00%,252,110,362,3.92,8.4,3,2,56,70.56,279.12,9.968571429,279.12,4.36125,5.5824,128.00%,Piemonte_hex_2,140.06.00,185.38.00
Larino,Molise,119,25,130,106,25,53,0,94,36,138.30%,954,65,1019,25.97,0,2,1,106,133.56,859.47,8.108207547,656.7648113,5.05203701,5.519032028,109.24%,Piemonte_hex_3,111.24.00,135.46.00
Alba,Piemonte,138,89,40,112,86,22,112,49,-9,81.63%,1008,130,1138,10.78,33.6,1,1,112,141.12,952.5,8.504464286,221.1160714,5.527901786,1.602290373,28.99%,Piemonte_hex_4,140.06.00,85.54.00
Asti,Piemonte,205,1,244,190,1,0,190,204,40,119.61%,1710,75,1785,0,57,2,1,190,239.4,1488.6,7.834736842,1480.765263,6.068710095,7.223245186,119.02%,Piemonte_hex_5,198.11.00,185.38.00
Biella,Piemonte,394,4,463,258,2,70,195,390,73,118.72%,2322,680,3002,34.3,58.5,2,1,258,325.08,2584.12,10.01596899,2564.088062,5.537987175,6.507837721,117.51%,Piemonte_hex_6,169.28.00,135.46.00
Cuneo,Piemonte,433,52,402,218,48,191,1,381,21,105.51%,1962,1075,3037,93.59,0.3,2,1,218,274.68,2668.43,12.24050459,2080.88578,5.176332786,4.805740831,92.84%,Piemonte_hex_7,169.28.00,36.02.00
Fossano,Piemonte,136,0,112,48,0,38,3,136,-24,82.35%,432,440,872,18.62,0.9,3,2,96,120.96,731.52,15.24,731.52,6.531428571,5.378823529,82.35%,Piemonte_hex_8,255.35.00,185.38.00
Ivrea,Piemonte,195,7,260,189,7,0,0,188,72,138.30%,1701,30,1731,0,0,2,1,189,238.14,1492.86,7.898730159,1437.568889,5.529111111,7.372148148,133.33%,Piemonte_hex_9,226.53.00,135.46.00
Saluzzo,Piemonte,424,0,356,275,0,66,204,424,-68,83.96%,2475,745,3220,32.34,61.2,2,1,275,346.5,2779.96,10.10894545,2779.96,7.808876404,6.556509434,83.96%,Piemonte_hex_10,284.17.00,235.30.00
Torino,Piemonte,1117,24,1439,936,24,14,90,1093,346,131.66%,8424,905,9329,6.86,27,2,1,936,1179.36,8115.78,8.670705128,7907.683077,5.495262736,7.079393981,128.83%,Puglia_hex_1,1062.36.00,684.59.00
Verbania,Piemonte,53,0,81,37,0,34,5,53,28,152.83%,333,80,413,16.66,1.5,3,2,74,93.24,301.6,8.151351351,301.6,3.72345679,5.690566038,152.83%,Puglia_hex_2,1005.12.00,684.59.00
Vercelli,Piemonte,230,43,315,193,34,14,19,187,128,168.45%,1737,185,1922,6.86,5.7,2,1,193,243.18,1666.26,8.633471503,1372.721969,4.35784752,5.968356387,136.96%,Puglia_hex_3,1293.34.00,884.27.00
Altamura,Puglia,52,1,82,51,1,1,51,51,31,160.78%,459,5,464,0.49,15.3,2,1,51,64.26,383.95,7.528431373,376.4215686,4.590506934,7.23887632,157.69%,Puglia_hex_4,1322.16.00,934.20.00
Bari,Puglia,294,42,422,165,30,142,76,252,170,167.46%,1485,645,2130,69.58,22.8,3,2,330,415.8,1621.82,9.829212121,1326.943636,3.1444162,4.513413729,143.54%,Puglia_hex_5,1235.29.00,884.27.00
Brindisi,Puglia,152,33,195,72,11,62,26,119,76,163.87%,648,400,1048,30.38,7.8,3,2,144,181.44,828.38,11.50527778,701.8219444,3.599086895,4.617249635,128.29%,Puglia_hex_6,1206.47.00,834.35.00
Foggia,Puglia,364,19,717,213,9,71,13,345,372,207.83%,1917,755,2672,34.79,3.9,4,2,426,536.76,2096.55,9.842957746,2007.96338,2.800506807,5.516382913,196.98%,Puglia_hex_7,1120.01.00,784.43.00
Lecce,Puglia,798,57,1195,654,54,81,264,741,454,161.27%,5886,720,6606,39.69,79.2,2,1,654,824.04,5663.07,8.65912844,5195.477064,4.347679552,6.510622887,149.75%,Puglia_hex_8,1149.23.00,834.35.00
Lucera,Puglia,135,0,164,81,0,0,0,135,29,121.48%,729,270,999,0,0,3,2,162,204.12,794.88,9.813333333,794.88,4.846829268,5.888,121.48%,Puglia_hex_9,1062.36.00,784.43.00
San Severo,Puglia,61,0,80,138,0,0,0,61,19,131.15%,1242,-385,857,0,0,1,1,138,173.88,683.12,4.950144928,683.12,8.539,11.19868852,131.15%,Puglia_hex_10,1033.54.00,734.51.00
Taranto,Puglia,500,16,936,349,16,135,96,484,452,193.39%,3141,755,3896,66.15,28.8,3,2,698,879.48,2921.57,8.371260745,2787.629828,2.978236996,5.575259656,187.20%,Puglia_hex_11,976.30.00,734.51.00
Trani. circondariale,Puglia,447,146,396,202,88,114,94,301,95,131.56%,1818,1225,3043,55.86,28.2,2,1,202,254.52,2704.42,13.38821782,1526.256832,3.854183918,3.414444814,88.59%,Sardegna_hex_1,169.28.00,1134.28.00
Trani. reclusione femminile,Puglia,32,0,40,19,0,0,19,32,8,125.00%,171,65,236,0,5.7,3,2,38,47.88,182.42,9.601052632,182.42,4.5605,5.700625,125.00%,Sardegna_hex_2,140.06.00,1084.36.00
Turi,Puglia,108,0,161,42,0,3,1,108,53,149.07%,378,330,708,1.47,0.3,4,2,84,105.84,600.39,14.295,600.39,3.729130435,5.559166667,149.07%,Sardegna_hex_3,169.28.00,1034.04.00
Alghero,Sardegna,156,0,86,62,0,62,0,156,-70,55.13%,558,470,1028,30.38,0,2,1,62,78.12,919.5,14.83064516,919.5,10.69186047,5.894230769,55.13%,Sardegna_hex_4,140.06.00,984.12.00
Arbus id Arenas,Sardegna,176,50,89,40,10,40,0,126,-37,70.63%,360,680,1040,19.6,0,3,2,80,100.8,919.6,22.99,689.7,7.749438202,3.91875,50.57%,Sardegna_hex_5,226.53.00,1134.28.00
Cagliari,Sardegna,561,0,763,282,0,278,22,561,202,136.01%,2538,1395,3933,136.22,6.6,3,2,564,710.64,3079.54,10.92035461,3079.54,4.036094364,5.489376114,136.01%,Sardegna_hex_6,198.11.00,1084.36.00
Isili,Sardegna,130,23,78,30,4,30,11,107,-29,72.90%,270,500,770,14.7,3.3,3,2,60,75.6,676.4,22.54666667,586.2133333,7.515555556,4.509333333,60.00%,Sardegna_hex_7,226.53.00,1034.04.00
Lanusei,Sardegna,33,0,30,14,0,14,0,33,-3,90.91%,126,95,221,6.86,0,3,2,28,35.28,178.86,12.77571429,178.86,5.962,5.42,90.91%,Sardegna_hex_8,198.11.00,984.12.00
Nuoro,Sardegna,378,107,191,154,60,101,55,271,-80,70.48%,1386,1120,2506,49.49,16.5,2,1,154,194.04,2245.97,14.58422078,1370.916753,7.177574624,3.626763897,50.53%,Sardegna_hex_9,226.46.00,929.48.00
Onanì,Sardegna,292,122,113,64,23,57,2,170,-57,66.47%,576,1140,1716,27.93,0.6,2,1,64,80.64,1606.83,25.10671875,1029.375469,9.109517423,3.525258455,38.70%,Sardegna_hex_10,255.35.00,1084.36.00
Oristano,Sardegna,264,2,234,138,1,138,9,262,-28,89.31%,1242,630,1872,67.62,2.7,2,1,138,173.88,1627.8,11.79565217,1616.004348,6.906001486,6.12122859,88.64%,Sardegna_hex_11,255.35.00,984.12.00
Sassari,Sardegna,454,1,529,292,1,292,9,453,76,116.78%,2628,810,3438,143.08,2.7,2,1,292,367.92,2924.3,10.01472603,2914.285274,5.509045887,6.419130559,116.52%,Sicilia_hex_1,1091.18.00,1333.56.00
Tempio Pausania,Sardegna,170,0,167,90,0,90,18,170,-3,98.24%,810,400,1210,44.1,5.4,2,1,90,113.4,1047.1,11.63444444,1047.1,6.27005988,6.159411765,98.24%,Sicilia_hex_2,1062.36.00,1383.48.00
Agrigento,Sicilia,283,20,385,247,18,192,42,263,122,146.39%,2223,180,2403,94.08,12.6,2,1,247,311.22,1985.1,8.036842105,1840.436842,4.780355434,6.503310396,136.04%,Sicilia_hex_3,1033.54.00,1333.56.00
Augusta,Sicilia,364,22,560,339,22,75,0,342,218,163.74%,3051,125,3176,36.75,0,2,1,339,427.14,2712.11,8.000324484,2536.102861,4.52875511,6.967315553,153.85%,Sicilia_hex_4,1005.12.00,1383.48.00
Barcellona Pozzo di Gotto,Sicilia,387,78,204,128,39,84,72,309,-105,66.02%,1152,1295,2447,41.16,21.6,2,1,128,161.28,2222.96,17.366875,1545.651875,7.576724877,3.993932494,52.71%,Sicilia_hex_5,1033.54.00,1433.41.00
Caltagirone,Sicilia,541,164,428,215,70,186,70,377,51,113.53%,1935,1630,3565,91.14,21,2,1,215,270.9,3181.96,14.79981395,2145.973023,5.013955662,3.966678416,79.11%,Sicilia_hex_6,1005.12.00,1483.33.00
Caltanisetta,Sicilia,183,0,229,111,0,108,103,183,46,125.14%,999,360,1359,52.92,30.9,3,2,222,279.72,995.46,8.968108108,995.46,4.3469869,5.439672131,125.14%,Sicilia_hex_7,1033.54.00,1533.25.00
Castelvetrano,Sicilia,44,0,71,40,0,25,0,44,27,161.36%,360,20,380,12.25,0,2,1,40,50.4,317.35,7.93375,317.35,4.46971831,7.2125,161.36%,Sicilia_hex_8,976.30.00,1333.56.00
Catania Bicocca,Sicilia,136,5,179,127,5,123,0,131,48,136.64%,1143,45,1188,60.27,0,2,1,127,160.02,967.71,7.61976378,929.6111811,5.193358554,6.835376332,131.62%,Sicilia_hex_9,947.07.00,1383.48.00
Catania Piazza Lanza,Sicilia,279,0,414,106,0,94,35,279,135,148.39%,954,865,1819,46.06,10.5,4,2,212,267.12,1495.32,14.10679245,1495.32,3.611884058,5.359569892,148.39%,Sicilia_hex_10,976.30.00,1433.41.00
Enna,Sicilia,167,12,204,79,3,39,0,155,49,131.61%,711,440,1151,19.11,0,3,2,158,199.08,932.81,11.80772152,897.3868354,4.398955076,5.373573865,122.16%,Sicilia_hex_11,947.07.00,1483.33.00
Favignana,Sicilia,89,0,89,33,0,33,0,89,0,100.00%,297,280,577,16.17,0,3,2,66,83.16,477.67,14.47484848,477.67,5.367078652,5.367078652,100.00%,Sicilia_hex_12,976.30.00,1533.25.00
Gela,Sicilia,48,0,67,48,0,48,48,48,19,139.58%,432,0,432,23.52,14.4,2,1,48,60.48,333.6,6.95,333.6,4.979104478,6.95,139.58%,Sicilia_hex_13,889.43.00,1383.48.00
Giarre,Sicilia,58,7,72,58,7,58,0,51,21,141.18%,522,0,522,28.42,0,2,1,58,73.08,420.5,7.25,369.75,5.135416667,6.375,124.14%,Sicilia_hex_14,918.25.00,1433.41.00
Messina,Sicilia,302,83,221,134,49,134,75,219,2,100.91%,1206,840,2046,65.66,22.5,2,1,134,168.84,1789,13.35074627,1134.813433,5.134902411,3.757660374,73.18%,Sicilia_hex_15,889.43.00,1483.33.00
Noto,Sicilia,176,0,145,98,0,98,0,176,-31,82.39%,882,390,1272,48.02,0,2,1,98,123.48,1100.5,11.22959184,1100.5,7.589655172,6.252840909,82.39%,Sicilia_hex_16,832.19.00,1383.48.00
Palermo. circondariale,Sicilia,1165,9,1416,735,7,298,722,1156,260,122.49%,6615,2150,8765,146.02,216.6,2,1,735,926.1,7476.28,10.17180952,7405.077333,5.229574388,6.356289557,121.55%,Sicilia_hex_17,861.01.00,1433.41.00
Palermo. reclusione,Sicilia,569,34,535,265,34,184,4,535,0,100.00%,2385,1520,3905,90.16,1.2,3,2,530,667.8,3145.84,11.87109434,2742.222792,5.125650079,4.819372219,94.02%,Sicilia_hex_18,803.37.00,1333.56.00
Piazza Armerina,Sicilia,49,1,76,42,1,31,0,48,28,158.33%,378,35,413,15.19,0,2,1,42,52.92,344.89,8.211666667,336.6783333,4.42997807,6.870986395,155.10%,Sicilia_hex_19,774.14.00,1383.48.00
Ragusa,Sicilia,196,13,201,66,9,54,3,183,18,109.84%,594,650,1244,26.46,0.9,4,2,132,166.32,1050.32,15.91393939,907.0945455,4.512908186,4.628033395,102.55%,Sicilia_hex_20,803.37.00,1433.41.00
San Cataldo,Sicilia,135,1,103,21,1,21,0,134,-31,76.87%,189,570,759,10.29,0,5,3,63,79.38,669.33,31.87285714,637.4571429,6.1889043,4.721904762,76.30%,Sicilia_hex_21,745.32.00,1333.56.00
Sciacca,Sicilia,73,53,23,25,16,24,0,20,3,115.00%,225,240,465,11.76,0,1,1,25,31.5,421.74,16.8696,151.8264,6.601147826,2.079813699,31.51%,Sicilia_hex_22,716.50.00,1383.48.00
Siracusa,Sicilia,545,0,661,245,0,219,19,545,116,121.28%,2205,1500,3705,107.31,5.7,3,2,490,617.4,2974.59,12.14118367,2974.59,4.500136157,5.457963303,121.28%,Sicilia_hex_23,688.08.00,1333.56.00
Termini Imerese,Sicilia,95,0,108,51,0,42,1,95,13,113.68%,459,220,679,20.58,0.3,3,2,102,128.52,529.6,10.38431373,529.6,4.903703704,5.574736842,113.68%,Toscana_hex_1,342.21.00,335.14.00
Trapani,Sicilia,555,58,539,233,32,159,72,497,42,108.45%,2097,1610,3707,77.91,21.6,3,2,466,587.16,3020.33,12.9627897,2605.52073,4.833990222,4.694631945,97.12%,Toscana_hex_2,428.28.00,385.06.00
Arezzo,Toscana,108,84,43,56,37,9,3,24,19,179.17%,504,260,764,4.41,0.9,1,1,56,70.56,688.13,12.28803571,233.4726786,5.429597176,2.161784061,39.81%,Toscana_hex_3,399.46.00,335.14.00
Firenze,Toscana,91,14,106,51,8,0,0,77,29,137.66%,459,200,659,0,0,3,2,102,128.52,530.48,10.40156863,447.267451,4.219504255,4.915026934,116.48%,Toscana_hex_4,486.32.00,485.31.00
Firenze Sollicciano,Toscana,497,136,534,358,102,62,29,361,173,147.92%,3222,695,3917,30.38,8.7,2,1,358,451.08,3426.84,9.572178771,2450.477765,4.588909673,4.930538763,107.44%,Toscana_hex_5,457.10.00,435.39.00
Grosseto,Toscana,15,0,29,9,0,1,0,15,14,193.33%,81,30,111,0.49,0,4,2,18,22.68,87.83,9.758888889,87.83,3.02862069,5.855333333,193.33%,Toscana_hex_6,486.32.00,385.06.00
Livorno,Toscana,391,211,246,296,179,78,83,180,66,136.67%,2664,475,3139,38.22,24.9,1,1,296,372.96,2702.92,9.131486486,1068.383919,4.343024061,2.73243969,62.92%,Toscana_hex_7,457.10.00,335.14.00
Livorno Gorgona,Toscana,89,0,82,55,0,55,0,89,-7,92.13%,495,170,665,26.95,0,2,1,55,69.3,568.75,10.34090909,568.75,6.93597561,6.390449438,92.13%,Toscana_hex_8,515.15.00,535.23.00
Lucca,Toscana,63,22,85,59,18,5,7,41,44,207.32%,531,20,551,2.45,2.1,2,1,59,74.34,472.11,8.001864407,328.0764407,3.859722832,5.20756255,134.92%,Toscana_hex_9,543.57.00,485.31.00
Massa,Toscana,174,8,238,109,4,108,98,166,72,143.37%,981,325,1306,52.92,29.4,3,2,218,274.68,949,8.706422018,914.1743119,3.841068538,5.253875356,136.78%,Toscana_hex_10,515.15.00,435.39.00
Massa Marittima,Toscana,48,0,46,24,0,24,24,48,-2,95.83%,216,120,336,11.76,7.2,2,1,24,30.24,286.8,11.95,286.8,6.234782609,5.975,95.83%,Toscana_hex_11,543.57.00,385.06.00
Pisa,Toscana,197,18,288,153,10,28,114,179,109,160.89%,1377,220,1597,13.72,34.2,2,1,153,192.78,1356.3,8.864705882,1267.652941,4.401572712,6.434786503,146.19%,Toscana_hex_12,572.39.00,535.23.00
Pistoia,Toscana,76,0,72,48,0,0,0,76,-4,94.74%,432,140,572,0,0,2,1,48,60.48,511.52,10.65666667,511.52,7.104444444,6.730526316,94.74%,Toscana_hex_13,601.21.00,485.31.00
Porto Azzurro,Toscana,334,13,316,306,10,118,13,321,-5,98.44%,2754,140,2894,57.82,3.9,2,1,306,385.56,2446.72,7.995816993,2366.76183,7.489752627,7.086113264,94.61%,Toscana_hex_14,572.39.00,435.39.00
Prato,Toscana,589,3,597,299,3,25,249,586,11,101.88%,2691,1450,4141,12.25,74.7,2,1,299,376.74,3677.31,12.29869565,3640.413913,6.09784575,6.180668783,101.36%,Toscana_hex_15,601.21.00,385.06.00
San Gimignano,Toscana,243,20,319,231,20,0,4,223,96,143.05%,2079,60,2139,0,1.2,2,1,231,291.06,1846.74,7.994545455,1686.849091,5.287928185,6.941765806,131.28%,Toscana_hex_16,630.03.00,435.39.00
Siena,Toscana,58,0,73,39,0,11,4,58,15,125.86%,351,95,446,5.39,1.2,2,1,39,49.14,390.27,10.00692308,390.27,5.346164384,6.728793103,125.86%,Trentino-Alto_Adige_hex_1,486.32.00,85.54.00
Volterra,Toscana,189,0,180,176,0,0,1,189,-9,95.24%,1584,65,1649,0,0.3,2,1,176,221.76,1426.94,8.107613636,1426.94,7.927444444,7.54994709,95.24%,Trentino-Alto_Adige_hex_2,543.57.00,85.54.00
Bolzano,Trentino-Alto Adige,88,3,117,31,2,1,0,85,32,137.65%,279,285,564,0.49,0,4,2,62,78.12,485.39,15.65774194,454.0745161,3.88097877,5.159937683,132.95%,Umbria_hex_1,659.26.00,585.15.00
Trento,Trentino-Alto Adige,422,4,369,170,2,170,170,418,-49,88.28%,1530,1260,2790,83.3,51,3,2,340,428.4,2227.3,13.10176471,2201.096471,5.965031086,5.215868414,87.44%,Umbria_hex_2,630.03.00,535.23.00
Spoleto,Umbria,546,6,459,403,6,130,1,540,-81,85.00%,3627,715,4342,63.7,0.3,2,1,403,507.78,3770.22,9.355384615,3714.087692,8.091694319,6.802358411,84.07%,Umbria_hex_3,659.26.00,485.31.00
Orvieto,Umbria,98,0,122,35,0,33,0,98,24,124.49%,315,315,630,16.17,0,4,2,70,88.2,525.63,15.018,525.63,4.308442623,5.363571429,124.49%,Umbria_hex_4,688.08.00,535.23.00
Perugia,Umbria,363,57,457,310,57,307,40,306,151,149.35%,2790,265,3055,150.43,12,2,1,310,390.6,2501.97,8.070870968,2041.930355,4.468118938,5.625152493,125.90%,Veneto_hex_1,543.57.00,185.38.00
Terni,Umbria,422,0,557,281,0,70,201,422,135,131.99%,2529,705,3234,34.3,60.3,2,1,281,354.06,2785.34,9.912241993,2785.34,5.000610413,6.600331754,131.99%,Veneto_hex_2,572.39.00,235.30.00
Brissogne,Valle d'Aosta,181,13,148,167,13,48,23,168,-20,88.10%,1503,70,1573,23.52,6.9,1,1,167,210.42,1332.16,7.977005988,1228.458922,8.300398123,6.787065868,81.77%,Veneto_hex_3,601.21.00,185.38.00
Belluno,Veneto,89,7,110,50,6,20,20,82,28,134.15%,450,195,645,9.8,6,3,2,100,126,503.2,10.064,442.816,4.0256,4.975460674,123.60%,Veneto_hex_4,572.39.00,135.46.00
Padova. circondariale,Veneto,188,4,217,68,2,68,68,184,33,117.93%,612,600,1212,33.32,20.4,4,2,136,171.36,986.92,14.51352941,957.8929412,4.414253185,5.095175219,115.43%,Veneto_hex_5,601.21.00,85.54.00
Padova. reclusione ,Veneto,438,63,547,386,57,48,0,375,172,145.87%,3474,260,3734,23.52,0,2,1,386,486.36,3224.12,8.352642487,2748.019378,5.023801423,6.274016845,124.89%,Veneto_hex_6,630.03.00,235.30.00
Rovigo,Veneto,211,6,234,113,6,109,109,205,29,114.15%,1017,490,1507,53.41,32.7,3,2,226,284.76,1136.13,10.05424779,1075.804513,4.597455185,5.098599589,110.90%,Veneto_hex_7,630.03.00,135.46.00
Treviso,Veneto,138,12,214,63,4,6,5,126,88,169.84%,567,375,942,2.94,1.5,4,2,126,158.76,778.8,12.36190476,729.352381,3.408188696,5.285162181,155.07%,Veneto_hex_8,630.03.00,36.02.00
Venezia. circondariale,Veneto,159,3,263,86,3,86,86,156,107,168.59%,774,365,1139,42.14,25.8,4,2,172,216.72,854.34,9.934186047,824.5374419,3.135123353,5.185770075,165.41%,Veneto_hex_9,688.08.00,135.46.00
Venezia Giudecca,Veneto,112,0,100,28,0,16,28,112,-12,89.29%,252,420,672,7.84,8.4,4,2,56,70.56,585.2,20.9,585.2,5.852,5.225,89.29%,hexagon_id,x,y
Verona,Veneto,335,17,594,308,15,89,281,318,276,186.79%,2772,135,2907,43.61,84.3,2,1,308,388.08,2391.01,7.763019481,2274.564708,3.829233515,6.789745396,177.31%,Abruzzo_hex_1,889.43.00,684.59.00
Vicenza,Veneto,276,28,377,204,26,204,196,248,129,152.02%,1836,360,2196,99.96,58.8,2,1,204,257.04,1780.2,8.726470588,1553.311765,4.120190357,5.627941176,136.59%,Abruzzo_hex_2,861.01.00,635.07.00